x,y,id
468.4258006314839,970.2300405953991,1
530.446549391069,958.9535408209292,2
603.743797925124,947.6770410464592,3
671.4027965719441,930.7622913847542,4
727.7852954442941,913.8475417230492,5
772.891294542174,885.6562922868742,6
806.7207938655841,863.1032927379341,7
846.1885430762289,829.2737934145242,8
868.741542625169,806.7207938655841,9
902.57104194857925,755.9765448804691,10
936.4005412719891,699.5940460081191,11
942.038791159224,648.849797023004,12
942.038791159224,615.0202976995942,13
942.038791159224,569.9142986017141,14
953.3152909336942,502.25529995489404,15
947.6770410464591,468.4258006314841,16
942.038791159224,423.31980153360405,17
942.038791159224,389.49030221019405,18
936.4005412719891,355.66080288678404,19
925.124041497519,288.0018042399641,20
913.8475417230492,231.619305367614,21
896.9327920613441,180.87505638249903,22
851.8267929634641,141.40730717185406,23
823.6355435272892,107.57780784844401,24
795.444294091114,79.38655841226905,25
767.2530446549391,62.47180875056398,26
744.7000451059992,45.55705908885902,27
727.7852954442941,28.642309427153947,28
705.2322958953541,17.365809652683936,29
665.764546684709,17.365809652683936,30
620.658547586829,23.004059539918998,31
575.5525484889491,34.28055931438901,32
507.89354984212895,39.91880920162396,33
418.21380243572395,56.19530897609397,34
367.469553450609,69.38655841226905,35
265.4488046910239,118.85430762291402,36
220.34280559314394,152.68380694632407,37
147.04555705908894,237.25755525484908,38
96.30130807397389,310.5548037889041,39
73.74830852503383,350.0225529995491,40
45.55705908885883,389.49030221019405,41
39.91880920162387,434.5963013080741,42
39.91880920162387,485.3405502931891,43
39.91880920162387,558.6377988272442,44
39.91880920162387,598.1055480378892,45
68.11005863779887,654.4880469102391,46
96.30130807397389,705.2322958953542,47
124.49255751014888,739.0617952187641,48
152.6838069463239,784.1677943166442,49
175.23680649526395,829.2737934145242,50
197.78980604420389,863.1032927379341,51
231.61930536761395,885.6562922868742,52
276.72530446549393,919.4857916102843,53
310.5548037889039,930.7622913847542,54
344.38430311231394,953.3152909336942,55
389.49030221019393,958.9535408209292,56
423.31980153360405,958.9535408209292,57
468.4258006314839,970.2300405953991,58
